symbol,token
Nifty 50,99926000
Nifty GrowSect 15,99926001
Nifty50 PR 2x Lev,99926002
Nifty 500,99926004
Nifty IT,99926008
Nifty Bank,99926009
NIFTY MIDCAP 100,99926011
Nifty 100,99926012
Nifty Next 50,99926013
Nifty Midcap 50,99926014
HangSeng BeES-NAV,99926016
India VIX,99926017
Nifty Realty,99926018
Nifty Infra,99926019
Nifty Energy,99926020
Nifty FMCG,99926021
Nifty MNC,99926022
Nifty Pharma,99926023
Nifty PSE,99926024
Nifty PSU Bank,99926025
Nifty Serv Sector,99926026
Nifty Auto,99926029
Nifty Metal,99926030
Nifty Media,99926031
NIFTY SMLCAP 100,99926032
Nifty 200,99926033
Nifty Div Opps 50,99926034
Nifty Commodities,99926035
Nifty Consumption,99926036
Nifty Fin Service,99926037
Nifty50 Div Point,99926038
Nifty100 Liq 15,99926040
Nifty CPSE,99926041
Nifty50 PR 1x Inv,99926042
Nifty50 TR 2x Lev,99926043
Nifty50 TR 1x Inv,99926044
Nifty50 Value 20,99926045
Nifty Mid Liq 15,99926046
Nifty Pvt Bank,99926047
NIFTY100 Qualty30,99926048
Nifty GS 8 13Yr,99926049
Nifty GS 10Yr,99926050
Nifty GS 10Yr Cln,99926051
Nifty GS 4 8Yr,99926052
Nifty GS 11 15Yr,99926053
Nifty GS 15YrPlus,99926054
Nifty GS Compsite,99926055
NIFTY50 EQL Wgt,99926056
NIFTY100 EQL Wgt,99926057
NIFTY100 LowVol30,99926058
NIFTY Alpha 50,99926059
NIFTY MIDCAP 150,99926060
NIFTY SMLCAP 50,99926061
NIFTY SMLCAP 250,99926062
NIFTY MIDSML 400,99926063
NIFTY200 QUALTY30,99926064
NIFTY MID SELECT,99926074
656MH32-SG,1000
757GS2033-GS,10046
SFMP6GD-MF,10055
679PN35-SG,1007
SCHAEFFLER-EQ,1011
781TN52-SG,10190
ICICM58-M1,10201
795AP39-SG,10215
AYMSYNTEX-EQ,10285
NGLFINE-BE,10287
AXISBNKETF-EQ,1044
764TN29-SG,10452
782SK32-SG,10470
805RJ37-SG,10474
H1158D46DG-MF,10500
772AP34-SG,10527
765BR32-SG,10529
UFLEX-EQ,1053
SHARDAMOTR-EQ,10530
782PN42-SG,10558
RAMAPHO-EQ,10568
MARKSANS-EQ,10579
795TS37-SG,10642
655GA30-SG,1074
753NTPC30E-NC,10749
AHIMSA-ST,10770
774TS45-SG,10783
MOVALUE-EQ,10825
66SK30-SG,1084
HDFC1406DQ-MF,10840
771AP42-SG,10846
771AP39-SG,10847
GABRIEL-EQ,1085
GRMOVER-EQ,10871
SFMP64GD-MF,10881
DBOL-BE,10895
DIVISLAB-EQ,10940
TMB-EQ,10945
746MP32-SG,10957
SABAR-ST,10985
ISHAN-SM,10995
SATIA-EQ,11045
NATHBIOGEN-EQ,11065
CREATIVE-EQ,11155
COFFEEDAY-BE,11169
ANNAPURNA-SM,11198
HDFCGROWTH-EQ,11241
WELSPUNLIV-EQ,11253
TVSELECT-EQ,11265
RADAAN-BE,11268
DREDGECORP-EQ,11271
955SCL27-Z5,11352
PTC-EQ,11355
DHANBANK-BE,11360
865SCL24B-Z8,11365
94SFL28-YL,1001
FACT-EQ,1008
688WB40-SG,1015
SETFNIF50-EQ,10176
785MP32-SG,10198
786HR32-SG,10202
792AP42-SG,10218
804PN42-SG,10268
PKTEA-BE,10318
795TS35-SG,10382
802AP38-SG,10383
802WB37-SG,10384
KSHITIJPOL-BE,10412
78TN32A-SG,10460
797RJ42-SG,10480
H1158D46RQ-MF,10507
UTISENSETF-EQ,10515
784TS36-SG,10545
MOM30IETF-EQ,10585
SADBHIN-EQ,10618
HDFCNIF100-EQ,10633
774AP31-SG,10647
SHAIVAL-ST,10684
INDIAMART-EQ,10726
HIGHWAYS-IV,10757
MOQUALITY-EQ,10822
SEYAIND-BE,10836
HDFC1406DG-MF,10839
SFMP64DR-MF,10880
KORE-ST,10892
684MZ34-SG,1090
747TS31-SG,10904
VIVIANA-ST,10970
675KA35-SG,1006
GUJRAFFIA-BE,10097
793TS35-SG,10207
EMKAYTOOLS-SM,10253
SGBJUN27-GB,10261
RAMASTEEL-EQ,10300
AURUM-EQ,10310
SKP-SM,10325
792AP41-SG,10337
ARVSMART-EQ,10457
779AP31-SG,10458
AGNI-ST,10498
785KL35-SG,10532
795HR37-SG,10640
773GJ32-SG,10648
SPORTKING-EQ,10733
UNIONBANK-EQ,10753
NUCLEUS-EQ,10791
HDFC1406DD-MF,10838
HDFC1406RD-MF,10841
HDFC1406RQ-MF,10843
66UP30-SG,1086
745TS30-SG,10902
SFMP64GR-MF,10882
758GA37-SG,10912
675KA34-SG,1092
75HP36-SG,10960
75HP37-SG,10961
68TS50A-SG,1098
RADICO-EQ,10990
INDORAMA-EQ,10993
GARFIBRES-EQ,1100
INFOBEAN-EQ,11027
BANKIETF-EQ,11037
KSOLVES-EQ,11060
NOIDATOLL-BE,11214
TVTODAY-EQ,11275
SIL-EQ,11297
PETRONET-EQ,11351
905SC24B-Z9,11368
BIOCON-EQ,11373
783TS35-SG,11413
774RJ42-SG,11418
NV20-EQ,11457
JPASSOCIAT-BE,11461
HDFCMOMENT-EQ,11538
DCI-EQ,11566
GULFPETRO-EQ,11581
ASTRAMICRO-EQ,11618
763ML25-SG,11675
681TR35-SG,1172
CONSOFINVT-EQ,11731
GOKEX-EQ,11778
GLAND-EQ,1186
93SCL24A-ZN,11861
GRANULES-EQ,11872
783BR32-SG,11882
VHL-EQ,11892
VITAL-SM,11920
ANZEN-IV,11945
SEMAC-BE,11964
UTIDGR35P1-MF,12040
UTIRAP35P1-MF,12048
UTIRFP35P1-MF,12057
53BR25-SG,1207
532AS25-SG,1210
635MH28-SG,1212
768HR31-SG,12295
763TS44-SG,12328
763TN47-SG,12345
AAATECH-EQ,12533
768JK37-SG,12701
763PN39-SG,12706
SFMP73DR-MF,13103
763KA39-SG,13128
PVRINOX-EQ,13147
741GS2036-GS,13194
HCL-INSYS-EQ,1327
DOLLEX-SM,13323
HDFCBANK-EQ,1333
GALLANTT-EQ,13337
ARIHANTACA-SM,13340
KFINTECH-EQ,13359
763KL32-SG,13375
761TN32A-SG,13379
769PY37-SG,13397
905SCL25-ZT,13460
98SCL27-ZX,13484
894SCL27-ZY,13487
OMKARCHEM-BZ,13515
HDFC1204RG-MF,13548
SELAN-EQ,13598
764WB42-SG,13621
BANKETFADD-EQ,13644
INSPIRISYS-EQ,13730
HINDALCO-EQ,1363
SAH-EQ,13689
SHYAMTEL-BE,13741
BBL-EQ,13761
757TS31-SG,13772
755JK38-SG,13779
77MN35-SG,13892
77HP38-SG,13901
766WB39-SG,13906
762TN43-SG,13908
UTIDAP35P3-MF,13937
771WB39-SG,13991
ZEEMEDIA-EQ,14003
1030SFIL26-NJ,14028
940SFIL28-NN,14036
726GS2033-GS,14051
HINDPETRO-EQ,1406
IGPL-EQ,14086
SIYSIL-EQ,14096
764TS33-SG,14097
PTL-EQ,14101
764UP36-SG,14109
755TN53-SG,14117
762MP34-SG,14163
IZMO-BE,14178
77AP30-SG,14268
SMSPHARMA-EQ,14329
772MH31-SG,14367
668KA36-SG,1437
771GJ33-SG,14374
POCL-EQ,14385
UTIDGR36P1-MF,14394
UTIRGR36P1-MF,14399
PAGEIND-EQ,14413
GOLDBEES-EQ,14428
757TN53-SG,14455
704NHAI26-NB,14497
NCLIND-EQ,14490
766HR29-SG,14635
77AP30A-SG,14636
774WB43-SG,14658
774TS48-SG,14660
TIMETECHNO-EQ,14707
925SCL28-AM,14714
011NSETEST-EQ,14747
121NSETEST-EQ,14777
141NSETEST-EQ,14781
LOWVOL-EQ,14786
SPARC-EQ,14788
ABSLFTUJDN-MF,14795
774HR31-SG,14814
USK-EQ,14871
KDDL-EQ,14908
710GR2028-GS,14971
758AS33-SG,15016
ENERGYDEV-BE,15053
MOGSEC-EQ,1507
KAUSHALYA-EQ,15136
LICNFNHGP-EQ,15229
HITECHCORP-EQ,15161
66ML30-SG,1528
QUICKTOUCH-ST,15294
INDIANHUME-EQ,1530
745RJ33-SG,15309
SANGINITA-EQ,11032
SIRCA-EQ,11050
757JK34-SG,11096
DANGEE-EQ,1110
771AP34-SG,11281
767HR32-SG,11284
769KL40-SG,11292
BALAXI-EQ,11309
LICNETFN50-EQ,11319
HDFC1359RD-MF,11562
779TN32-SG,11405
KRIDHANINF-BE,11488
HDFC1359RG-MF,11563
PPLPHARMA-EQ,11571
HDFCSENSEX-EQ,11593
PHANTOMFX-SM,11612
GOLDENTOBC-BZ,11619
678WB35-SG,1169
725IRFC35-NH,11748
753IRFC30-NJ,11754
SAKSOFT-EQ,11794
SURYALAXMI-EQ,11852
63MOONS-EQ,11868
787HP35-SG,11869
785HP36-SG,11870
782SK32A-SG,11878
GEOJITFSL-EQ,11896
MCLEODRUSS-BE,11944
ESG-EQ,1200
BASML-EQ,12034
GRASIM-EQ,1232
GREAVESCOT-EQ,1235
657GA30-SG,1237
659RJ30A-SG,1241
960CAGL25-N3,12444
SFMP72GR-MF,12563
762PN32-SG,12673
763KL43-SG,12726
DJML-BE,12753
SILVER1-EQ,13082
SFMP73GR-MF,13108
KERNEX-BE,13125
UTIRQP35P2-MF,13164
ALLETEC-SM,13203
ABSLFTUBDG-MF,13228
M&MFIN-EQ,13285
IEL-BE,13307
SGL-EQ,13367
BHAGERIA-EQ,13400
SUPREMEINF-BZ,13419
ELIN-EQ,13423
EMKAY-BE,13424
955SCL25-ZU,13465
87SCL25-ZV,13477
PFOCUS-EQ,13496
965SCL25C-N0,13497
AKASH-EQ,13510
VIDHIING-EQ,13536
HOVS-EQ,13592
BINANIIND-EQ,13625
SGBDE30III-GB,13642
TALBROAUTO-EQ,13648
PARSVNATH-BE,13795
LTFOODS-EQ,13816
SOBHA-EQ,13826
9IIFL28A-NT,13854
IIFLZC28A-NU,13858
763GJ32-SG,13916
NFL-EQ,13925
PRAENG-EQ,13941
UTIRAP35P3-MF,13946
UTIRFP35P3-MF,13947
767NL33A-SG,13967
77PN40-SG,13992
766TS44-SG,13995
980IFSL25-N5,14042
ASMS-EQ,14064
767AS33A-SG,14092
NINSYS-EQ,14194
HDFC2638DG-MF,14335
777AP40-SG,14341
776MN35-SG,14379
769RJ39-SG,14380
UTIRPP36P1-MF,14401
77MH33-SG,14425
738MP25-SG,14526
654KA30-SG,1453
77HR32-SG,14532
NDLVENTURE-EQ,14547
766KL50-SG,14563
767TN53-SG,14564
SRHHYPOLTD-EQ,14582
PSUBNKIETF-EQ,14584
ALPHAGEO-BE,14601
735GJ26-SG,14634
772HP31-SG,14637
776HP33-SG,14641
774RJ40-SG,14654
965SCL28-AK,14704
IRBIT-IV,14806
775HP32-SG,14818
775NL33-SG,14821
779HP38-SG,14839
785WB42-SG,14849
CENTRALBK-EQ,14894
KPRMILL-EQ,14912
INDOWIND-EQ,14952
736MH28-SG,15009
759PN33-SG,15019
AVALON-EQ,15058
761TS44-SG,15106
759RJ48-SG,15109
535RJ25-SG,1513
1025SFIL26-NT,15231
957SFIL28-NW,15245
